Date,DateValues,Names,Bay,Month,MoYr,MonitoringPeriod,NumberDays,Quadrat,Habitat,Stage,Tag,TrackingPeriod,Lat,Long,Surv,Surv_Sum,Condition,Herbivory,Height,WaterDepth,HypoColor,Branches,NodesMS,LeavesMS,NodesBR,LeavesBR,Photo,NOTES
1/23/23,1/23/23,"AJH, LU, AND, KWG",Otter,January,23-Jan,1,0,S1,fringe,Seedling,121,Primary,18.349702,-64.691088,A,A,H,N,46.4,25,G,1,2,0,3,4,,PREV TAGGED
4/2/23,4/2/23,LU,Otter,April,23-Apr,2,69,S1,fringe,Seedling,121,Primary,18.349702,-64.691088,A,A,P,B,41.6,3.75,BY,0,2,0,0,0,Y,
8/24/23,8/24/23,LU,Otter,August,23-Aug,3,143,S1,fringe,Seedling,121,Primary,18.349702,-64.691088,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,need to remove tag
2/13/24,2/13/24,LU,Otter,February,24-Feb,4,174,S1,fringe,Seedling,121,Primary,18.349702,-64.691088,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12/2/22,12/2/22,"LU, AD, KH",Otter,January,23-Jan,1,0,S1,fringe,Seedling,126,Primary,18.349735,-64.691077,A,A,H,N,27,116,G,0,1,2,0,0,Y,IN BENTHIC QUADRAT
4/2/23,4/2/23,LU,Otter,April,23-Apr,2,69,S1,fringe,Seedling,126,Primary,18.349735,-64.691077,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WAS NOT IN BENTHIC QUADRAT ANYMORE, MUST HAVE WASHED AWAY. NEED TO PULL TAG"
8/23/23,8/23/23,LU,Otter,August,23-Aug,3,143,S1,fringe,Seedling,126,Primary,18.349735,-64.691077,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2/13/24,2/13/24,LU,Otter,February,24-Feb,4,174,S1,fringe,Seedling,126,Primary,18.349735,-64.691077,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4/3/23,4/3/23,LU,Water,April,23-Apr,2,69,U3,debris,Seedling,162,Secondary,18.345204,-64.690679,A,A,H,N,21,0,G,0,0,0,0,0,Y,UNDER DEBRIS
8/23/23,8/23/23,LU,Water,August,23-Aug,3,143,U3,debris,Seedling,162,Secondary,18.345204,-64.690679,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CNL = COULD NOT LOCATE
2/13/24,2/13/24,LU,Water,February,24-Feb,4,174,U3,debris,Seedling,162,Secondary,18.345204,-64.690679,CNL,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8/24/23,8/24/23,LU,Water,August,23-Aug,3,143,S1,fringe,Seedling,166,Tertiary,18.350272,64.689162,A,A,H,N,14.3,18,G,0,0,0,0,0,Y,NEW!
2/13/24,2/13/24,LU,Water,February,24-Feb,4,174,S1,fringe,Seedling,166,Tertiary,18.350272,64.689162,DY,A,P,B,27,0,G,0,1,0,0,0,Y,BROWSE
8/24/23,8/24/23,LU,Otter,August,23-Aug,3,143,S1,fringe,Seedling,167,Tertiary,18.39986,64.691064,A,A,H,N,18.3,25,G,0,0,0,0,0,Y,
2/13/24,2/13/24,LU,Otter,February,24-Feb,4,174,S1,fringe,Seedling,167,Tertiary,18.39986,64.691064,A,A,P,B,31.9,0.3,YG,0,2,1,0,0,Y,BROWSE
3/21/23,3/21/23,LU,Water,January,23-Jan,1,0,S3,fringe,Sapling,170,Primary,18.345567,-64.692527,A,A,P,I,54.3,4,B,0,22,11,0,0,Y,INSECT BITES
4/3/23,4/3/23,LU,Water,April,23-Apr,2,69,S3,fringe,Sapling,170,Primary,18.345567,-64.692527,A,A,P,I,54.4,0,B,0,23,8,0,0,Y,HERBIVORY (BITES)
8/23/23,8/23/23,LU,Water,August,23-Aug,3,143,S3,fringe,Sapling,170,Primary,18.345567,-64.692527,A,A,H,I,56,14,B,0,22,7,0,0,Y,
