Method,Bay,Habitat,quadrat_code,transect_length_m,area
terrestrial,Otter,fringe,OCS1,6.6,26.4
terrestrial,Otter,fringe,OCS2,10.6,42.4
terrestrial,Otter,fringe,OCS3,6.89,27.56
terrestrial,Otter,debris,OCU1,5.77,23.08
terrestrial,Otter,debris,OCU2,7.38,29.52
terrestrial,Otter,debris,OCU3,9.4,37.6
terrestrial,Water,fringe,WCS1,6.06,24.24
terrestrial,Water,fringe,WCS2,4.9,19.6
terrestrial,Water,fringe,WCS3,6.74,26.96
terrestrial,Water,debris,WCU1,4.3,17.2
terrestrial,Water,debris,WCU2,4.93,19.72
terrestrial,Water,debris,WCU3,11,44
