Date,Monitoring_Year,Names,Bay,Quadrat,Habitat,quadrat_code,Point_intercept,Benthic_Substrate,First_Hit,Last_Hit,Hit_1,Hit_1adj,Hit_2,Hit_3,Hit_4,Hit_5,Hit_6,Hit_7,Hit_8,Hit_9,Hit_10,Water_Depth_cm
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,1,"DICT, S",DICT,S,DICT,DICT,S,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,2,"DICT, S",DICT,S,DICT,DICT,S,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,3,"DICT, H",DICT,H,DICT,DICT,H,,,,,,,,,118
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,4,"TURF, R",TURF,R,TURF,TURF,R,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,5,"DICT, S",DICT,S,DICT,DICT,S,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,6,"TURF, R",TURF,R,TURF,TURF,R,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,7,"DICT, RCA, S",DICT,S,DICT,DICT,RCA,S,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,8,"VAVE, R",VAVE,R,VAVE,VAVE,R,,,,,,,,,111
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,9,"PENA, S",PENA,S,PENA,PENA,S,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,10,"DICT, S",DICT,S,DICT,DICT,S,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,11,"THTE, DICT, S",THTE,S,THTE,THTE,DICT,S,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,12,"DICT, TURF, H",DICT,H,DICT,DICT,TURF,H,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,13,"JAAD, DICT, H",JAAD,H,JAAD,JAAD,DICT,H,,,,,,,,108
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,14,"CCA, H",CCA,H,CCA,CCA,H,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,15,"#231- DRHMA, PENA, S",ALGA1,S,ALGA1,ALGA1,DRHMA,PENA,S,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,16,"#231- DRHMA, S",ALGA1,S,ALGA1,ALGA1,DRHMA,S,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,17,"DICT, TURF, R",DICT,R,DICT,DICT,TURF,R,,,,,,,,90
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,18,"S, H",S,H,S,S,H,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,19,"THTE, DRHMA, S",THTE,H,THTE,THTE,DRHMA,HAST,H,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,20,"#231- DRHMA, HAST, H",ALGA1,H,ALGA1,ALGA1,DRHMA,HAST,H,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,21,"#231, S",ALGA1,S,ALGA1,ALGA1,S,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,22,"GALA, S",GALA,S,GALA,GALA,S,,,,,,,,,97
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,23,"THTE, S",THTE,S,THTE,THTE,S,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,24,"THTE, TURF, R",THTE,R,THTE,THTE,TURF,R,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,25,"S, H",S,H,S,S,H,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,26,"DICT, R",DICT,R,DICT,DICT,R,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,27,"GALA, S",GALA,S,GALA,GALA,S,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,28,"TURF, DRHMA, S",TURF,S,TURF,TURF,DRHMA,S,,,,,,,,88
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,29,"#231 - DRHMA, S",ALGA1,S,ALGA1,ALGA1,DRHMA,S,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,30,"DRHMA, TURF, H",TURF,H,DRHMA,TURF,TURF,H,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,31,S,S,S,S,S,,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,32,"TURF, H",TURF,H,TURF,TURF,H,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,33,"TURF- DRHMA, #231, S",TURF,S,TURF,TURF,DRHMA,ALGA1,S,,,,,,,71
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,34,"TURF- DRHMA, S",TURF,S,TURF,TURF,DRHMA,S,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,35,"DICT, THTE, H",DICT,H,DICT,DICT,THTE,H,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,36,"DRHMA, PENA, H",PENA,H,DRHMA,PENA,PENA,H,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,37,"PENA, TURF, H",PENA,H,PENA,PENA,TURF,H,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,38,"PENA, TURF, H",PENA,H,PENA,PENA,TURF,H,,,,,,,,65
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,39,"PENA, TURF, H",PENA,H,PENA,PENA,TURF,H,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,40,"TURF, GALA, H",TURF,H,TURF,TURF,GALA,H,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,41,"RHMAD, VEVE, H",VEVE,H,RHMAD,VEVE,VEVE,H,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,42,H,H,H,H,H,,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,43,"DRHMA, DRHMA, DRHMA, PENA, H",DRHMA,H,DRHMA,DRHMA,DRHMA,DRHMA,PENA,H,,,,,,48
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,44,"MILL, H",MILL,H,MILL,MILL,H,,,,,,,,,
12/1/22,1,"LU, AD, JP",Otter Creek,U1,Debris,OCU1,45,"VEVE, GALA, PENA, H",VEVE,H,VEVE,VEVE,GALA,PENA,H,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,1,"LRHMA, HAST, S",HAST,S,LRHMA,HAST,HAST,S,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,2,"LRHMA, S",S,S,LRHMA,S,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,3,"LRHMA, HAST, S",HAST,S,LRHMA,HAST,HAST,S,,,,,,,,155
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,4,"LRHMA, HAST, S",HAST,S,LRHMA,HAST,HAST,S,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,5,"LRHMA, HAST, H",HAST,H,LRHMA,HAST,HAST,H,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,6,"LRHMA, S",S,S,LRHMA,S,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,7,"LRHMA, S",S,S,LRHMA,S,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,8,"LRHMA, S, R",S,R,LRHMA,S,S,R,,,,,,,,147
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,9,"LRHMA, SSID, H",SSID,H,LRHMA,SSID,SSID,H,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,10,"LRHMA, S",S,S,LRHMA,S,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,11,"LRHMA, R",S,R,LRHMA,S,R,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,12,"LRHMA, S",S,S,LRHMA,S,S,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,13,"LRHMA, AGEL- P, H",AGEL,H,LRHMA,AGEL,AGEL,P,H,,,,,,,134
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,14,"LRHMA, MONA-P, HAST, WD, S",MONA,S,LRHMA,MONA,MONA,P,HAST,WD,S,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,15,"ISAL-LRHMA, S, H",ISAL,S,ISAL,ISAL,LRHMA,S,H,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,16,"LRHMA, R",R,R,LRHMA,R,R,,,,,,,,,
12/2/22,1,"LU, KH, AD",Otter Creek,S1,Fringe,OCS1,17,"LRHMA, UDOT, S",UDOT,S,LRHMA,UDOT,UDOT,S,,,,,,,,
