date,bay,quadrat,quadrat_code,habitat,tag_id,spp,Photo_ID,bleaching,paling,bl_pa,bl_binomial
10/9/23,Otter Creek,S3,OCS3,fringe,565,SSID,NA,0,0,no,0
10/9/23,Otter Creek,S3,OCS3,fringe,567,SSID,NA,0,0,no,0
10/9/23,Otter Creek,S3,OCS3,fringe,543,SSID,NA,0,0,no,0
10/9/23,Otter Creek,S3,OCS3,fringe,554,SSID,NA,0,0,no,0
10/9/23,Otter Creek,S3,OCS3,fringe,544,SSID,NA,0,0,no,0
10/9/23,Otter Creek,S3,OCS3,fringe,551,PPOR,NA,0,0,no,0
10/9/23,Otter Creek,S3,OCS3,fringe,550,OANN,NA,0,0,no,0
10/9/23,Otter Creek,S3,OCS3,fringe,560,OANN,NA,0,0,no,0
10/9/23,Otter Creek,S3,OCS3,fringe,573,SSID,NA,0,0,no,0
10/9/23,Otter Creek,S3,OCS3,fringe,574,SSID,NA,0,0,no,0
10/9/23,Otter Creek,U3,OCU3,debris,156,PAST,1366,100,0,yes,1
10/9/23,Otter Creek,U3,OCU3,debris,136,PAST,1365,100,0,yes,1
10/9/23,Otter Creek,U3,OCU3,debris,179,PAST,1364,30,70,yes,1
10/9/23,Otter Creek,S2,OCS2,fringe,141,PPOR,NA,0,0,no,0
10/9/23,Otter Creek,S2,OCS2,fringe,149,PPOR,NA,0,0,no,0
10/9/23,Otter Creek,S2,OCS2,fringe,117,PPOR,NA,0,0,no,0
10/9/23,Otter Creek,S2,OCS2,fringe,518,PAST,NA,0,0,no,0
10/9/23,Otter Creek,S2,OCS2,fringe,558,SSID,NA,0,0,no,0
10/9/23,Otter Creek,S2,OCS2,fringe,522,SSID,NA,0,40,yes,1
10/9/23,Otter Creek,S2,OCS2,fringe,557,AAGR,NA,0,0,no,0
10/9/23,Otter Creek,S2,OCS2,fringe,142,AAGR,NA,100,0,yes,1
10/9/23,Otter Creek,S2,OCS2,fringe,534,AAGR,NA,100,0,yes,1
10/9/23,Otter Creek,S2,OCS2,fringe,521,AAGR,NA,100,0,yes,1
10/9/23,Otter Creek,S2,OCS2,fringe,559,PPOR,NA,0,0,no,0
10/9/23,Otter Creek,S1,OCS1,fringe,157,SSID,NA,0,0,no,0
10/9/23,Otter Creek,S1,OCS1,fringe,159,SSID,NA,0,0,no,0
10/9/23,Otter Creek,S1,OCS1,fringe,124,PAST,NA,0,0,no,0
10/9/23,Otter Creek,S1,OCS1,fringe,102,SSID,NA,0,0,no,0
10/9/23,Otter Creek,S1,OCS1,fringe,150,PAST,1386,5,95,yes,1
10/9/23,Otter Creek,U1,OCU1,debris,110,PAST,1394,100,0,yes,1
10/9/23,Otter Creek,U1,OCU1,debris,139,PAST,1390,100,0,yes,1
10/9/23,Otter Creek,U1,OCU1,debris,146,PAST,1391,100,0,yes,1
10/9/23,Otter Creek,U1,OCU1,debris,145,SSID,1403,0,35,yes,1
10/9/23,Water Creek,U2,WCU2,debris,566,SSID,NA,0,0,no,0
10/9/23,Water Creek,U2,WCU2,debris,537,PAST,NA,100,0,yes,1
10/9/23,Water Creek,U2,WCU2,debris,506,PAST,NA,0,60,yes,1
10/9/23,Water Creek,U2,WCU2,debris,535,PAST,NA,100,0,yes,1
10/9/23,Water Creek,U2,WCU2,debris,569,PAST,1447,100,0,yes,1
10/9/23,Water Creek,U2,WCU2,debris,572,PAST,,100,0,yes,1
10/9/23,Water Creek,U2,WCU2,debris,570,PPOR,,60,0,yes,1
10/9/23,Water Creek,U2,WCU2,debris,539,PAST,,100,0,yes,1
10/9/23,Water Creek,U2,WCU2,debris,540,PAST,1441,60,40,yes,1
10/9/23,Water Creek,U2,WCU2,debris,523,AGSP,1526,100,0,yes,1
10/9/23,Water Creek,U3,WCU3,debris,545,PPOR,,75,0,yes,1
10/9/23,Water Creek,U1,WCU1,debris,502,PPOR,,0,0,no,0
10/9/23,Water Creek,U1,WCU1,debris,501,PPOR,NA,0,0,no,0
10/9/23,Water Creek,U1,WCU1,debris,509,PPOR,,0,50,yes,1
10/9/23,Water Creek,U1,WCU1,debris,599,PPOR,,0,0,no,0
10/9/23,Water Creek,U1,WCU1,debris,548,PPOR,,0,0,no,0
10/9/23,Water Creek,U1,WCU1,debris,571,PPOR,,0,0,no,0
10/9/23,Water Creek,U1,WCU1,debris,568,SSID,,0,0,no,0
10/9/23,Water Creek,U1,WCU1,debris,503,PAST,,10,0,yes,1
10/9/23,Water Creek,U1,WCU1,debris,508,PPOR,,0,0,no,0
10/9/23,Water Creek,U1,WCU1,debris,553,SINT,,0,0,no,0
10/9/23,Water Creek,U1,WCU1,debris,564,SSID,,100,0,yes,1
10/9/23,Water Creek,U1,WCU1,debris,588,PAST,,0,0,no,0
10/9/23,Water Creek,U1,WCU1,debris,577,SSID,,0,0,no,0
10/9/23,Water Creek,U1,WCU1,debris,594,SSID,,0,0,no,0
10/9/23,Water Creek,S2,WCS2,fringe,538,SRAD,,0,0,no,0
10/9/23,Water Creek,S2,WCS2,fringe,520,PAST,,100,0,yes,1
