Date,Year,Names,Bay,Quadrat,Quadrat_Code,Habitat,Tag_ID,SPP,Photo_ID,Length_cm,Width_cm,Class,Surface_Area ,old_mort,recent_mort,Surv,BB,DS,WP,YB,SCTLD,BL,P,Predation,Notes
12/2/22,year_1,"LU, KH, AD",Otter Creek,S1,OCS1,fringe,102,SSID,102,35.719,31.973,adult,644.369,40,0,A,0,0,0,0,0,0,0,0,
12/1/22,year_1,"LU, JP, AD",Otter Creek,U1,OCU1,debris,105,PAST,105,1.358,1.146,juvenile,1.051,0,0,A,0,0,0,0,0,0,0,0,
12/1/22,year_1,"LU, JP, AD",Otter Creek,U1,OCU1,debris,108,PAST,108,1.927,0.988,juvenile,1.69,0,0,A,0,0,0,0,0,0,0,0,
12/1/22,year_1,"LU, JP, AD",Otter Creek,U1,OCU1,debris,110,PAST,110,1.621,1.242,juvenile,1.704,0,0,A,0,0,0,0,0,0,0,0,
12/1/22,year_1,"LU, JP, AD",Otter Creek,U1,OCU1,debris,111,PAST,111,0.91,0.749,juvenile,0.529,0,0,A,0,0,0,0,0,0,0,0,
12/1/22,year_1,"LU, JP, AD",Otter Creek,U1,OCU1,debris,112,PAST,112,5.737,2.469,adult,11.049,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,115,SSID,115,13.212,7.088,adult,74.764,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,116,SSID,116,13.14,13.118,adult,124.925,10,0,A,0,0,0,0,0,0,0,0,
12/12/22,year_1,LU,Otter Creek,S2,OCS2,fringe,117,PPOR,IMG_0688,5.324,4.599,adult,10.14,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,120,SSID,120,2.748,2.724,juvenile,5.96,0,0,A,0,0,0,0,0,0,0,0,
12/1/22,year_1,"LU, JP, AD",Otter Creek,U1,OCU1,debris,123,SSID,123,11.857,10.536,adult,86.994,95,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,S1,OCS1,fringe,124,PAST,124-159-157,4.303,2.992,adult,6.729,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,129,SSID,"129, 174, 164",2.812,1.665,juvenile,3.522,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,130,SSID,130,29.064,23.398,adult,488.142,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,131,SSID,"131, 137",4.243,1.839,adult,5.897,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,136,PAST,136,4.121,2.379,adult,6.777,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,137,SSID,"131, 137",8.318,4.88,adult,24.496,0,0,A,0,0,0,0,0,0,0,0,
12/1/22,year_1,"LU, JP, AD",Otter Creek,U1,OCU1,debris,139,PAST,139,3.815,3.356,juvenile,8.82,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,140,SSID,140,12.915,5.766,adult,61.792,0,0,A,0,0,0,0,0,0,0,0,
12/12/22,year_1,LU,Otter Creek,S2,OCS2,fringe,141,PPOR,IMG_0687,1.685,1.419,juvenile,2.131,0,0,A,0,0,0,0,0,0,0,0,
12/12/22,year_1,LU,Otter Creek,S2,OCS2,fringe,142,AGSP,IMG_0683,2.565,1.174,juvenile,2.68,0,0,A,0,0,0,0,0,0,0,0,ON PROP ROOT
12/1/22,year_1,"LU, JP, AD",Otter Creek,U1,OCU1,debris,143,PAST,143,3.066,2.659,juvenile,6.711,0,0,A,0,0,0,0,0,0,0,0,
12/1/22,year_1,"LU, JP, AD",Otter Creek,U1,OCU1,debris,145,SSID,145,13.222,13.051,adult,132.211,0,0,A,0,0,0,0,0,0,0,0,
12/1/22,year_1,"LU, JP, AD",Otter Creek,U1,OCU1,debris,146,PAST,146,6.284,5.946,adult,24.197,0,0,A,0,0,0,0,0,0,0,0,was not recorded on datasheet or missing sheet?
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,147,SSID,147,6.775,6.576,adult,36.596,0,0,A,0,0,0,0,0,0,0,0,
12/12/22,year_1,LU,Otter Creek,S2,OCS2,fringe,149,PPOR,IMG_0686,3.781,1.553,juvenile,5.215,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,S1,OCS1,fringe,150,PAST,150 (1),7.368,6.266,adult,35.01,5,0,A,0,0,0,0,0,0,0,0,feather worm hole (?) in center of coral
12/2/22,year_1,"LU, KH, AD",Otter Creek,S1,OCS1,fringe,157,SSID,124-159-157,1.136,1.09,juvenile,0.888,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,158,SSID,158,3.28,2.271,juvenile,5.847,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,S1,OCS1,fringe,159,SSID,124-159-157,2.161,1.638,juvenile,2.967,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,164,SSID,"129, 174, 164",2.437,1.438,juvenile,2.6,0,0,A,0,0,0,0,0,0,0,0,
12/1/22,year_1,"LU, JP, AD",Otter Creek,U1,OCU1,debris,169,PAST,169,2.492,2.144,juvenile,3.93,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,173,SSID,173,2.129,1.337,juvenile,2.381,0,0,A,0,0,0,0,0,0,0,0,was not recorded on datasheet or missing sheet?
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,174,SSID,"129, 174, 164",2.117,1.651,juvenile,2.665,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,177,PPOR,177,2.124,1.78,juvenile,2.764,0,0,A,0,0,0,0,0,0,0,0,
12/2/22,year_1,"LU, KH, AD",Otter Creek,U3,OCU3,debris,179,PAST,179,2.592,1.933,juvenile,4.036,0,5,A,0,0,0,0,5,0,0,0,
1/19/23,year_1,LU,Water Creek,U1,WCU1,debris,501,PPOR,501,1.191,0.738,juvenile,0.881,0,0,A,0,0,0,0,0,0,0,0,
1/19/23,year_1,LU,Water Creek,U1,WCU1,debris,502,PPOR,502,1.222,1.19,juvenile,1.039,0,0,A,0,0,0,0,0,0,0,0,
1/19/23,year_1,LU,Water Creek,U1,WCU1,debris,503,PAST,503,4.605,3.058,adult,12.003,0,0,A,0,0,0,0,0,0,0,0,
1/19/23,year_1,LU,Water Creek,U1,WCU1,debris,504,AAGR,504,5.362,3.021,adult,9.902,0,0,A,0,0,0,0,0,0,0,0,
1/19/23,year_1,LU,Water Creek,U1,WCU1,debris,505,SSID,505,4.141,3.193,adult,7.877,0,0,A,0,0,0,0,0,0,0,0,
12/13/22,year_1,"LU, EH, LP",Water Creek,U2,WCU2,debris,506,PAST,506,3.296,2.567,juvenile,6.16,0,0,A,0,0,0,0,0,0,0,0,
12/13/22,year_1,"LU, EH, LP",Water Creek,U2,WCU2,debris,507,PAST,507_523,2.119,1.552,juvenile,2.935,0,0,A,0,0,0,0,0,0,0,0,
1/19/23,year_1,LU,Water Creek,U1,WCU1,debris,508,PPOR,508,1.583,1.196,juvenile,1.522,0,0,A,0,0,0,0,0,0,0,0,
1/19/23,year_1,LU,Water Creek,U1,WCU1,debris,509,PPOR,509_547_599,1.328,0.792,juvenile,1.002,0,0,A,0,0,0,0,0,0,0,0,
