date,year,Bay,habitat,quadrat_code,transect_width,species,species_consolidated,sap_tree,dbh_cm,surv,rep,notes
1/23/23,2023,Otter,fringe,OCS1,2,AVGE,AVGE,Tree,3.76,A,NA,"HEALTHY, HERBIV"
1/23/23,2023,Otter,fringe,OCS1,2,RHMA,RHMA,Tree,7.32,A,IP,"HEALTHY, HERBIV"
1/23/23,2023,Otter,fringe,OCS1,2,RHMA,RHMA,Tree,6.3,A,IP,"HEALTHY, HERBIV"
1/23/23,2023,Otter,fringe,OCS2,2,LARA,LARA,Tree,4.01,A,NA,HERBIV
1/23/23,2023,Otter,fringe,OCS2,2,LARA,LARA,Tree,7.07,A,NA,
1/23/23,2023,Otter,fringe,OCS2,2,LARA,LARA,Tree,12.03,A,NA,"LEADER DEAD, BASE STILL ALIVE"
1/23/23,2023,Otter,fringe,OCS2,2,LARA,LARA,Tree,6.94,A,NA,"LEADER DEAD, BASE STILL ALIVE"
1/23/23,2023,Otter,fringe,OCS2,2,RHMA,RHMA,Tree,5.86,A,IP,HEALTHY
1/23/23,2023,Otter,fringe,OCS2,2,RHMA,RHMA,Tree,6.81,A,F,HEALTHY
1/23/23,2023,Otter,fringe,OCS2,2,RHMA,RHMA,Tree,5.47,A,NA,
1/23/23,2023,Otter,fringe,OCS2,2,RHMA,RHMA,Tree,6.11,A,NA,
1/23/23,2023,Otter,fringe,OCS2,2,RHMA,RHMA,Tree,10.06,A,IP,
1/23/23,2023,Otter,fringe,OCS2,2,RHMA,RHMA,Tree,4.46,A,NA,
1/23/23,2023,Otter,fringe,OCS3,2,LARA,LARA,Tree,4.33,A,N,HERBIV
1/23/23,2023,Otter,fringe,OCS3,2,LARA,LARA,Tree,11.52,A,N,LEADER BROKEN
1/23/23,2023,Otter,fringe,OCS3,2,RHMA,RHMA,Tree,5.22,A,"F, IP",HEALTHY
1/23/23,2023,Water,fringe,WCS1,2,RHMA,RHMA,Tree,10.5,A,N,"SOME DEAD BRANCHES, HERBIV"
