Bay,Quadrat,Habitat,Tag,freq_pred,pred_occurrence
Otter,OCS1,fringe,121,1,1
Otter,OCS1,fringe,126,0,0
Otter,OCS1,fringe,167,1,1
Otter,OCS2,fringe,236,1,1
Otter,OCS1,fringe,238,1,1
Otter,OCU3,debris,466,0,0
Otter,OCU3,debris,481,0,0
Otter,OCS1,fringe,498,0,0
Otter,OCS1,fringe,530,0,0
Otter,OCU1,debris,532,2,1
Otter,OCS1,fringe,596,0,0
Water,WCU3,debris,162,0,0
Water,WCS1,fringe,166,1,1
Water,WCS3,fringe,170,0,0
Water,WCS2,fringe,176,0,0
Water,WCU3,debris,178,0,0
Water,WCS3,fringe,185,3,1
Water,WCU2,debris,190,2,1
Water,WCS3,fringe,195,1,1
Water,WCU1,debris,433,2,1
Water,WCU3,debris,453,0,0
Water,WCS3,fringe,456,1,1
Water,WCU1,debris,465,3,1
Water,WCU2,debris,469,0,0
Water,WCU1,debris,471,1,1
Water,WCS2,fringe,477,1,1
Water,WCS3,fringe,483,2,1
Water,WCS1,fringe,513,0,0
Water,WCS1,fringe,575,0,0
Water,WCS1,fringe,582,0,0
Water,WCU1,debris,583,0,0
Water,WCU1,debris,584,2,1
Water,WCS1,fringe,585,0,0
Water,WCU3,debris,597,0,0
