Bay,Habitat,Array,Array_Code,Tile,Recruits,recruit_rate
Otter,Fringing,S1,OCS1,191,2,0.24691358
Otter,Fringing,S1,OCS1,103,0,0
Otter,Fringing,S1,OCS1,175,0,0
Otter,Fringing,S1,OCS1,189,0,0
Otter,Fringing,S2,OCS2,125,1,0.12345679
Otter,Fringing,S2,OCS2,161,1,0.12345679
Otter,Fringing,S2,OCS2,172,6,0.740740741
Otter,Fringing,S2,OCS2,180,1,0.12345679
Otter,Fringing,S3,OCS3,197,0,0
Otter,Fringing,S3,OCS3,118,0,0
Otter,Fringing,S3,OCS3,119,0,0
Otter,Fringing,S3,OCS3,196,0,0
Otter,Debris,U1,OCU1,101,0,0
Otter,Debris,U1,OCU1,104,0,0
Otter,Debris,U1,OCU1,168,0,0
Otter,Debris,U1,OCU1,114,0,0
Otter,Debris,U2,OCU2,138,1,0.12345679
Otter,Debris,U2,OCU2,122,0,0
Otter,Debris,U2,OCU2,184,0,0
Otter,Debris,U2,OCU2,187,0,0
Otter,Debris,U3,OCU3,192,1,0.12345679
Otter,Debris,U3,OCU3,186,0,0
Otter,Debris,U3,OCU3,153,0,0
Otter,Debris,U3,OCU3,193,0,0
Water,Fringing,S1,WCS1,151,1,0.12345679
Water,Fringing,S1,WCS1,107,0,0
Water,Fringing,S1,WCS1,182,0,0
Water,Fringing,S1,WCS1,154,0,0
Water,Fringing,S2,WCS2,200,1,0.12345679
Water,Fringing,S2,WCS2,148,0,0
Water,Fringing,S2,WCS2,199,0,0
Water,Fringing,S2,WCS2,165,0,0
Water,Fringing,S3,WCS3,198,1,0.12345679
Water,Fringing,S3,WCS3,133,0,0
Water,Fringing,S3,WCS3,135,0,0
Water,Fringing,S3,WCS3,134,0,0
Water,Debris,U1,WCU1,163,1,0.12345679
Water,Debris,U1,WCU1,127,0,0
Water,Debris,U1,WCU1,128,0,0
Water,Debris,U1,WCU1,155,0,0
Water,Debris,U2,WCU2,109,1,0.12345679
Water,Debris,U2,WCU2,194,1,0.12345679
Water,Debris,U2,WCU2,152,0,0
Water,Debris,U2,WCU2,181,0,0
Water,Debris,U3,WCU3,171,1,0.12345679
Water,Debris,U3,WCU3,160,0,0
Water,Debris,U3,WCU3,106,0,0
Water,Debris,U3,WCU3,188,0,0
