Plate,Sponges_Top,cca_Top,Enc_Top,Maca_Top,mollusc_Top,Turf_Top,Sponges_Bottom,cca_Bottom,Enc_Bottom,Maca_Bottom,mollusc_Bottom,Turf_Bottom,Recruits
103,0,40,30,10,0,0,25,0,40,0,0,30,0
101,0,0,5,10,0,80,25,15,10,0,20,0,0
114,0,5,25,0,10,60,20,5,15,0,50,10,0
191,0,15,25,0,0,0,10,15,40,0,0,0,2
175,5,15,15,5,0,5,40,0,60,0,0,0,0
104,0,5,5,15,10,55,15,5,30,0,50,0,0
168,0,5,10,5,25,55,15,10,10,0,40,0,0
182,0,0,40,0,0,40,0,15,50,0,30,5,0
189,0,30,30,0,5,5,10,20,40,0,10,0,0
154,0,0,10,40,0,50,35,0,30,0,30,0,0
127,0,0,20,0,15,55,0,15,30,0,55,0,0
151,3,0,10,15,0,75,10,0,25,0,50,5,1
128,0,0,5,25,5,60,50,0,20,0,25,5,0
155,0,0,5,20,5,40,0,5,20,0,60,10,0
184,0,0,35,10,35,15,0,10,35,0,25,15,0
163,0,0,10,60,20,5,0,10,10,0,70,5,1
194,0,5,5,50,25,15,0,15,10,0,65,0,1
181,0,5,20,5,25,10,0,30,40,0,10,15,0
199,0,0,10,0,15,65,0,0,40,0,60,0,0
109,0,10,50,10,15,10,0,40,30,0,30,0,1
107,0,0,5,0,0,85,0,15,10,0,60,10,0
138,0,0,10,0,20,20,0,20,20,0,55,0,1
172,0,40,40,0,10,0,0,20,30,0,50,0,6
165,0,0,5,0,15,50,0,5,10,0,55,5,0
152,0,15,20,0,30,30,0,10,60,0,30,0,0
200,0,0,10,0,35,45,0,25,30,0,40,0,1
148,0,0,5,0,40,50,0,30,40,0,25,5,0
188,0,0,5,0,5,75,0,5,50,0,35,10,0
134,0,0,5,10,5,60,0,25,60,0,15,0,0
198,0,0,15,5,20,40,0,25,25,0,30,15,1
160,0,0,10,0,15,55,0,5,40,0,45,5,0
106,0,0,10,0,10,60,0,0,25,0,15,50,0
171,0,0,5,0,5,70,0,10,35,0,35,15,1
135,0,0,20,0,30,30,0,15,15,0,60,5,0
133,0,20,30,20,5,20,0,20,30,0,30,5,0
153,0,0,20,0,25,35,5,10,40,0,40,0,0
193,0,0,25,0,40,20,0,5,60,0,35,0,0
118,0,10,15,0,40,10,0,15,15,0,20,25,0
187,0,5,10,0,30,10,0,25,10,0,60,5,0
122,0,0,10,0,15,25,15,5,10,0,45,5,0
197,0,0,10,0,65,0,0,10,30,0,15,25,0
119,0,0,10,0,50,10,0,15,65,0,10,5,0
196,0,0,10,0,15,15,0,5,50,0,15,10,0
125,0,15,30,0,5,5,0,5,20,0,75,0,1
186,0,0,30,0,35,0,0,25,25,0,50,0,0
192,0,0,20,0,35,10,0,15,20,0,45,0,1
180,0,10,20,0,0,0,0,15,15,0,70,0,1
161,0,10,15,0,10,0,0,15,15,0,70,0,1
