Date,Names,Bay,Quad,Habitat,Temp,Dopercent,DOmgL,sal,spc,tds,Ph
1/23/23,"AJH, AND, KWG, LU",Otter,S1,Fringe,26.8,106.2,7.01,35.04,53203,34583,8.21
1/23/23,"AJH, AND, KWG, LU",Otter,S1,Fringe,26.5,106.6,7.03,35,53141,34538,8.2
1/23/23,"AJH, AND, KWG, LU",Otter,S1,Fringe,26.7,104.9,6.94,35.06,53197,34580,8.19
1/23/23,"AJH, AND, KWG, LU",Water,S1,Fringe,26.9,109,7.18,35.25,53501,34765,NA
1/23/23,"AJH, AND, KWG, LU",Water,S1,Fringe,26.8,108.3,7.18,35.12,53293,34639,NA
1/23/23,"AJH, AND, KWG, LU",Water,S1,Fringe,26.8,109.8,7.25,35.11,53270,34626,NA
1/23/23,"AJH, AND, KWG, LU",Otter,S2,Fringe,26.7,103.5,6.88,35.08,53233,34599,8.19
1/23/23,"AJH, AND, KWG, LU",Otter,S2,Fringe,26.4,105.2,6.97,35.06,53205,34583,8.2
1/23/23,"AJH, AND, KWG, LU",Otter,S2,Fringe,26.6,105.2,6.97,35.05,53193,34576,8.19
1/23/23,"AJH, AND, KWG, LU",Water,S2,Fringe,26.5,99.8,6.6,35.13,53290,34633,NA
1/23/23,"AJH, AND, KWG, LU",Water,S2,Fringe,26.1,99,6.62,35.1,53250,34620,NA
1/23/23,"AJH, AND, KWG, LU",Water,S2,Fringe,26.3,100.4,6.64,35.03,53175,34567,NA
1/23/23,"AJH, AND, KWG, LU",Otter,S3,Fringe,26.9,112.7,7.44,35.05,53201,34577,8.21
1/23/23,"AJH, AND, KWG, LU",Otter,S3,Fringe,26.9,112.9,7.46,35.08,53233,34604,8.22
1/23/23,"AJH, AND, KWG, LU",Otter,S3,Fringe,26.9,113.5,7.18,35.08,53233,34604,8.21
1/23/23,"AJH, AND, KWG, LU",Water,S3,Fringe,26.4,100.7,6.69,35.06,53206,34584,NA
1/23/23,"AJH, AND, KWG, LU",Water,S3,Fringe,26.6,101.5,6.73,35.06,53200,34585,NA
1/23/23,"AJH, AND, KWG, LU",Water,S3,Fringe,26.6,102.2,6.79,35.05,53183,34572,NA
1/23/23,"AJH, AND, KWG, LU",Otter,U1,Debris,26.7,110.6,7.31,35.12,53295,34641,8.2
1/23/23,"AJH, AND, KWG, LU",Otter,U1,Debris,26.7,111.2,7.36,35.09,53245,34611,8.2
1/23/23,"AJH, AND, KWG, LU",Otter,U1,Debris,26.7,107.4,7.13,35.07,53197,34582,8.2
